"","sub","time_stamp","eye","offset","x_pos","y_pos","x_offset","y_offset"
"327",4,5488812,"RIGHT",0.6,960,987,23,-23.6
"328",4,5488812,"RIGHT",0.32,115,540,3.9,-17.2
"329",4,5488812,"RIGHT",0.81,1804,540,-44.3,6.8
"330",4,5488812,"RIGHT",1.71,216,145,-76,-55.9
"331",4,5488812,"RIGHT",0.36,1703,145,20,1.6
"332",4,5488812,"RIGHT",0.89,216,934,-23.4,-43
"333",4,5488812,"RIGHT",0.42,1703,934,-2.1,-22.8
"334",4,5516910,"RIGHT",0.87,960,540,-7,-47.3
"335",4,5516910,"RIGHT",0.27,960,92,12.4,-8.6
"336",4,5516910,"RIGHT",1.13,960,987,7.9,-62.1
"337",4,5516910,"RIGHT",0.54,115,540,29,-6.1
"338",4,5516910,"RIGHT",0.93,1804,540,32.1,-40.4
"339",4,5516910,"RIGHT",4.68,216,145,259.2,-1.2
"340",4,5516910,"RIGHT",0.85,1703,145,-46.1,-8.9
"341",4,5516910,"RIGHT",2.68,216,934,-145.8,-28.7
"342",4,5516910,"RIGHT",1.23,1703,934,-39.5,-55.2
"343",5,189444,"RIGHT",0.26,960,540,2.1,-14.3
"344",5,189444,"RIGHT",0.41,960,92,-19.5,-11.8
"345",5,189444,"RIGHT",0.74,960,987,-23.8,-33.7
"346",5,189444,"RIGHT",0.24,115,540,6.4,11.5
"347",5,189444,"RIGHT",0.65,1804,540,30.5,-19.1
"348",5,189444,"RIGHT",0.26,216,145,-6.1,13.3
"349",5,189444,"RIGHT",0.83,1703,145,-16.4,43.2
"350",5,189444,"RIGHT",0.85,216,934,34.7,-32.1
"351",5,189444,"RIGHT",0.21,1703,934,-3,-11.4
"352",5,531368,"RIGHT",0.65,960,540,1.2,36.1
"353",5,531368,"RIGHT",0.09,960,92,3.8,3.3
"354",5,531368,"RIGHT",0.43,960,987,18.2,15.6
"355",5,531368,"RIGHT",0.44,115,540,24.4,0.3
"356",5,531368,"RIGHT",0.51,1804,540,4,28.3
"357",5,531368,"RIGHT",0.46,216,145,25.3,5.3
"358",5,531368,"RIGHT",0.34,1703,145,18.8,0.9
"359",5,531368,"RIGHT",0.71,216,934,-27.8,28.1
"360",5,531368,"RIGHT",0.33,1703,934,-5.7,17.2
"361",5,688009,"RIGHT",0.17,960,540,-4.4,-8.4
"362",5,688009,"RIGHT",0.47,960,92,6.9,25.5
"363",5,688009,"RIGHT",0.83,960,987,-32.5,32.8
"364",5,688009,"RIGHT",0.31,115,540,-12.5,11.6
"365",5,688009,"RIGHT",0.52,1804,540,18.1,22.3
"366",5,688009,"RIGHT",0.64,216,145,-23.8,26.2
"367",5,688009,"RIGHT",0.4,1703,145,15.3,16.5
"368",5,688009,"RIGHT",0.46,216,934,-24.6,-6.8
"369",5,688009,"RIGHT",0.26,1703,934,12.6,7.1
"370",5,838975,"RIGHT",0.27,960,540,1.9,15
"371",5,838975,"RIGHT",0.3,960,92,16.8,0.4
"372",5,838975,"RIGHT",8.95,960,987,92.7,498.4
"373",5,838975,"RIGHT",0.1,115,540,-4,3.6
"374",5,838975,"RIGHT",0.9,1804,540,-28.1,42.5
"375",5,838975,"RIGHT",0.18,216,145,-0.8,-10.2
"376",5,838975,"RIGHT",0.46,1703,145,17.1,-19.9
"377",5,838975,"RIGHT",0.67,216,934,-24.5,28.5
"378",5,838975,"RIGHT",1.19,1703,934,34.6,57.4
"379",5,879844,"RIGHT",0.17,960,540,-9.7,0.4
"380",5,879844,"RIGHT",0.33,960,92,4.7,-18
"381",5,879844,"RIGHT",0.41,960,987,-11.7,-19.4
"382",5,879844,"RIGHT",0.44,115,540,-21.5,11.9
"383",5,879844,"RIGHT",0.69,1804,540,16,35.2
"384",5,879844,"RIGHT",0.35,216,145,-5.3,18.6
"385",5,879844,"RIGHT",0.38,1703,145,3.3,21.2
"386",5,879844,"RIGHT",3.37,216,934,-165.5,90
"387",5,879844,"RIGHT",1.33,1703,934,57.5,47.2
"388",5,1010991,"RIGHT",0.61,960,540,1.6,34.1
"389",5,1010991,"RIGHT",0.47,960,92,8.4,24.8
"390",5,1010991,"RIGHT",0.88,960,987,20.5,44.5
"391",5,1010991,"RIGHT",0.2,115,540,6.3,9.4
"392",5,1010991,"RIGHT",0.76,1804,540,-28.1,31.3
"393",5,1010991,"RIGHT",0.24,216,145,6,11.9
"394",5,1010991,"RIGHT",0.43,1703,145,-5.8,23.5
"395",5,1010991,"RIGHT",0.72,216,934,12.1,38
"396",5,1010991,"RIGHT",0.37,1703,934,20.9,-0.6
"397",5,1126643,"RIGHT",0.42,960,540,13.9,18.7
"398",5,1126643,"RIGHT",0.62,960,92,9.4,33.6
"399",5,1126643,"RIGHT",3.06,960,987,30.1,168.4
"400",5,1126643,"RIGHT",0.92,115,540,50.8,5.8
"401",5,1126643,"RIGHT",1.03,1804,540,-2.4,57.4
"402",5,1126643,"RIGHT",0.94,216,145,34.6,39.5
"403",5,1126643,"RIGHT",0.48,1703,145,-10.9,24.4
"404",5,1126643,"RIGHT",0.3,216,934,-7.2,-15.3
"405",5,1126643,"RIGHT",1.1,1703,934,14.7,59.5
"406",5,1252956,"RIGHT",0.07,960,540,1.7,-3.7
"407",5,1252956,"RIGHT",0.28,960,92,9.5,12.3
"408",5,1252956,"RIGHT",0.16,960,987,-2.5,8.3
"409",5,1252956,"RIGHT",0.43,115,540,-23.9,3.8
"410",5,1252956,"RIGHT",0.8,1804,540,12.9,42.8
"411",5,1252956,"RIGHT",0.66,216,145,4.8,36.4
"412",5,1252956,"RIGHT",0.5,1703,145,4.5,27.5
"413",5,1252956,"RIGHT",0.25,216,934,9.4,10.5
"414",5,1252956,"RIGHT",0.04,1703,934,-1.1,-1.9
"415",6,7685616,"RIGHT",0.18,960,540,-8.1,5.7
"416",6,7685616,"RIGHT",0.2,960,92,10.6,-2.7
"417",6,7685616,"RIGHT",0.37,960,987,-16.4,-12.5
"418",6,7685616,"RIGHT",0.1,115,540,5.3,1.2
"419",6,7685616,"RIGHT",0.16,1804,540,-3,-8.6
"420",6,7685616,"RIGHT",1.13,216,145,-2,62.7
"421",6,7685616,"RIGHT",1.04,1703,145,-37.8,43.6
"422",6,7685616,"RIGHT",0.3,216,934,-16.6,-1.3
"423",6,7685616,"RIGHT",0.73,1703,934,37.2,16.5
